,actualclose,target,open,high,low,close,volume,14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV.,VIm,VIp,ema50,ema21,ema15,ema5,normalized_volume,open_close_ratio,high_close_ratio,low_close_ratio
2004-09-10,2.6234169006,1.0,2.5536780357,2.5581610203,2.5155711174,2.5481989384,81620792.0,50.31079477735496,-0.013779244678759017,-0.011063260769728194,23.17757540488226,-34184841.26100104,0.09589057309285717,-0.09190511700000004,47.99778319188024,-6.4808023015151415,1032057962.0,-42.63257367030033,-3.1543332407712242e-06,0.9933212792078578,1.069201819400982,2.5787818234246043,2.5737727003196578,2.5704746122449444,2.5526283166286294,0.5258635471143808,1.0021501842801332,1.0039094600307208,0.987195732441327
2004-09-13,2.6774640083,1.0,2.5305149555,2.6540520191,2.5230429172999997,2.6234169006,174804764.0,58.56990980717683,-0.008156889977873671,-0.010465151327217169,43.94781090693986,58867363.78046573,0.08969952377857145,-0.06425905230000017,41.69498896525997,0.4386348446615439,1206862726.0,15.609510949171774,-4.348092357322271e-06,1.0192387614801304,0.9930577639078018,2.582004744063925,2.578071367092896,2.575613236392026,2.565101037128145,1.1017229564713753,0.9645874260096623,1.0116775639026314,0.9617392175536249
2004-09-14,2.7768421173,1.0,2.6557950974,2.7001290321,2.6515610218,2.6774640083,157628624.0,63.29135927455334,-0.00042315339467169366,-0.008410484762839565,67.61459011115795,69376248.16365552,0.08598131792142857,0.03362393379999995,35.61847076074558,1.4150939552395536,1364491350.0,86.08411772677115,-5.891365482623482e-06,1.0647639213001074,0.9145454058370482,2.5885530475166845,2.586337691843758,2.5851687145521267,2.5847121347819417,0.9946025344168066,0.9919069272890961,1.008465108673633,0.9903255519328358
2004-09-15,2.7895441055,1.0,2.6762189865,2.7895441055,2.6597800255,2.7768421173,217608605.0,70.04999856544396,0.01177060939859409,-0.004300222019515927,96.0950739181982,244383511.82284015,0.08096446309285718,0.23611521720000006,48.02194759945588,3.3175935627131574,1582099955.0,133.88948669972748,4.614599483240731e-07,0.948583100558965,1.0369147293600816,2.6008660639544923,2.6016058164114324,2.60260512883326,2.617983505721834,1.2897410796829545,0.9637634670789857,1.0045742565343796,0.9578434470326231
2004-09-16,2.8386099339,1.0,2.7536790371,2.8450860977,2.7447121143,2.7895441055,215279909.0,70.79025865647274,0.02181328082396705,0.0009988461700573823,85.4152788953694,221412937.55080393,0.08080431392857146,0.23985099790000008,57.87149576944996,5.5110758175324035,1797379864.0,156.9437072287693,4.426991202530535e-06,0.8201243453767342,1.1052402077595938,2.612664317633194,2.6161632603833405,2.619140114122325,2.6475008576350527,1.2181083783977336,0.9871430359070907,1.019910777567736,0.9839285598275334
2004-09-17,2.926281929,1.0,2.7980120182,2.8841888905,2.7808270454,2.8386099339,186207345.0,73.51360259922569,0.032488739850678794,0.007370282566549164,89.14595324099828,243398436.70149365,0.08233422892857144,0.34171891220000017,58.9689785617098,11.72432321585903,1983587209.0,166.92858884636456,5.544958671229821e-06,0.7884624175205804,1.1177621218559246,2.6262114670113057,2.6328593341300293,2.638061460494663,2.6802054383731537,1.0440304592237513,0.9856979589850791,1.0160567875338118,0.9796439490294423
2004-09-20,2.9728569984,1.0,2.8498179913,2.926281929,2.8281490803000002,2.926281929,190350817.0,77.54262916014652,0.04614781489718478,0.015197986861583877,100.0,433749253.7014936,0.08413108757142858,0.39800882339999966,66.099188169881,14.76996663941564,2173938026.0,185.29620672362609,6.307190091386911e-06,0.7714110302895631,1.1336434018318282,2.6435051658100925,2.6542494247414092,2.6623344603775787,2.722129477537892,1.0551704755449787,0.9738699347652637,1.0,0.9664650053955892
2004-09-21,2.9349989891,0.0,2.9128320217,3.0286478996,2.9083490372,2.9728569984,213585582.0,79.34056040857865,0.05929703066185121,0.024083358089252025,90.11474305694587,449226027.9309812,0.08535863671428576,0.4819440841000002,72.34577746529915,19.062344834575143,2387523608.0,194.09177948378627,1.5007348044036761e-05,0.6375578304732502,1.2809507288673274,2.6617911026197265,2.676855074316865,2.687929819948645,2.764688305131248,1.1481155028648455,0.9798089929208482,1.0187667624880803,0.978301021127246
2004-09-22,2.9484479427,1.0,2.9840650558,2.9992580414,2.9267799854,2.9349989891,145262446.0,74.1444120550222,0.06621989748095425,0.032560707405435374,83.40690824457265,336909073.21581995,0.0875112840071429,0.40498208999999985,70.37246019552072,16.087102401996123,2242261162.0,159.93186222195192,1.5378467604595975e-05,0.6373249186897247,1.2890834911979479,2.67643400007553,2.694715362418721,2.7078970437554215,2.7935084575472584,0.810921920097799,1.0167175753321285,1.021894062839083,0.99719965705933
2004-09-23,3.009221077,1.0,2.9240400791,2.9805779457,2.9093449116,2.9484479427,152344894.0,74.77639994275748,0.07173970105499983,0.04043368522190916,85.78984809841415,351822171.33350337,0.0867285047214286,0.4004979133000002,70.51384245892979,18.368166376807167,2394606056.0,129.42405659832642,1.6061366615505506e-05,0.6342567429026295,1.3284105546883684,2.6905336820507633,2.7118634697381157,2.7269878120431503,2.819660676852417,0.8724816667757983,0.9917217925924617,1.0108972597191515,0.986737757674571
